time_s,current_A,voltage_V
0,127.6191,2.797585
0.989999999990687,130.6236,2.816958
1.98999999999069,130.3558,2.822989
2.98999999999069,130.1245,2.828113
3.98999999999069,129.8815,2.832809
4.98999999999069,129.6992,2.837079
5.98999999999069,129.5138,2.841295
6.98999999999069,129.3427,2.845191
7.98999999999069,129.1555,2.84898
8.98999999999069,128.9788,2.85277
9.98999999999069,128.8324,2.856292
10.9899999999907,128.6756,2.859868
11.9899999999907,128.5355,2.863284
12.9899999999907,128.3526,2.866593
13.9899999999907,128.2174,2.869848
14.9899999999907,128.0636,2.873104
15.9899999999907,127.9186,2.876253
16.9899999999907,127.802,2.879295
17.9899999999907,127.6433,2.882337
18.9899999999907,127.5267,2.885273
19.9899999999907,127.4064,2.888208
20.9899999999907,127.2812,2.891037
21.9899999999907,127.1603,2.893865
22.9899999999907,127.0326,2.896694
23.9899999999907,126.9129,2.899362
24.9899999999907,126.7654,2.902138
25.9899999999907,126.6749,2.904753
26.9899999999907,126.5688,2.907368
27.9899999999907,126.4684,2.909983
28.9899999999907,126.3357,2.912545
29.9899999999907,126.1999,2.915053
30.9899999999907,126.1199,2.917508
31.9899999999907,126.0028,2.919964
32.9899999999907,125.911,2.922365
33.9899999999907,125.8155,2.924714
34.9899999999907,125.7002,2.927062
35.9899999999907,125.6103,2.929357
36.9899999999907,125.5161,2.931598
37.9899999999907,125.4305,2.93384
38.9899999999907,125.3443,2.936188
39.9899999999907,125.2457,2.938376
40.9899999999907,125.1391,2.940511
41.9899999999907,125.0473,2.942699
42.9899999999907,124.9562,2.944781
43.9899999999907,124.8651,2.946916
44.9899999999907,124.7652,2.948944
45.9899999999907,124.7001,2.951025
46.9899999999907,124.596,2.953107
47.9899999999907,124.5228,2.955081
48.9899999999907,124.4249,2.957109
49.9899999999907,124.3511,2.959031
50.9899999999907,124.2544,2.961005
51.9899999999907,124.1806,2.96298
52.9899999999907,124.1118,2.964902
53.9899999999907,124.038,2.966716
54.9899999999907,123.9549,2.968691
55.9899999999907,123.8824,2.970559
56.9899999999907,123.7832,2.972373
57.9899999999907,123.7205,2.974188
58.9899999999907,123.6443,2.976003
59.9899999999907,123.5848,2.977764
60.9899999999907,123.4843,2.979578
61.9899999999907,123.4267,2.981287
62.9899999999907,123.3733,2.983048
63.9899999999907,123.2859,2.984756
64.9899999999907,123.2128,2.986517
65.9899999999907,123.1402,2.988171
66.9899999999907,123.064,2.989879
67.9899999999907,123.0038,2.991587
68.9899999999907,122.9313,2.993242
69.9899999999907,122.8749,2.994843
70.9899999999907,122.811,2.996497
71.9899999999907,122.7316,2.998098
72.9899999999907,122.6814,2.999699
73.9899999999907,122.5977,3.001247
74.9899999999907,122.5506,3.002795
75.9899999999907,122.4781,3.004396
76.9899999999907,122.4055,3.005997
77.9899999999907,122.3615,3.007491
78.9899999999907,122.2945,3.009039
79.9899999999907,122.2406,3.010534
80.9899999999907,122.1513,3.012028
81.9899999999907,122.1147,3.013522
82.9899999999907,122.0527,3.015017
83.9899999999907,122.0007,3.016564
84.9899999999907,121.9176,3.017952
85.9899999999907,121.8816,3.019446
86.9899999999907,121.8134,3.020834
87.9899999999907,121.752,3.022328
88.9899999999907,121.6987,3.023663
89.9899999999907,121.6287,3.025104
90.9899999999907,121.5797,3.026545
91.9899999999907,121.5257,3.027879
92.9899999999907,121.4575,3.02932
93.9899999999907,121.3825,3.030708
94.9899999999907,121.349,3.032042
95.9899999999907,121.3131,3.03343
96.9899999999907,121.2573,3.03471
97.9899999999907,121.1965,3.036098
98.9899999999907,121.1525,3.037379
99.9899999999907,121.0874,3.038767
100.989999999991,121.0316,3.039994
101.989999999991,120.9863,3.041328
102.989999999991,120.9243,3.042663
103.989999999991,120.8834,3.04389
104.989999999991,120.8599,3.045224
105.989999999991,120.7786,3.046505
106.989999999991,120.7582,3.047733
107.989999999991,120.6993,3.049014
108.989999999991,120.6398,3.050295
109.989999999991,120.5902,3.051522
110.989999999991,120.5387,3.05275
111.989999999991,120.4959,3.053977
112.989999999991,120.4469,3.055205
113.989999999991,120.3899,3.056379
114.989999999991,120.3477,3.057606
115.989999999991,120.2969,3.058834
116.989999999991,120.2386,3.059955
117.989999999991,120.1983,3.061182
118.989999999991,120.1543,3.062356
119.989999999991,120.1121,3.063584
120.989999999991,120.0601,3.064705
121.989999999991,120.0241,3.065826
122.989999999991,119.9788,3.067053
123.989999999991,119.9361,3.068227
124.989999999991,119.8958,3.069295
125.989999999991,119.8226,3.070415
126.989999999991,119.7984,3.071536
127.989999999991,119.7488,3.072764
128.989999999991,119.7067,3.073778
129.989999999991,119.6478,3.074899
130.989999999991,119.6267,3.076019
131.989999999991,119.5982,3.077087
132.989999999991,119.551,3.078154
133.989999999991,119.4983,3.079275
134.989999999991,119.4692,3.080396
135.989999999991,119.4314,3.081463
136.989999999991,119.3843,3.082477
137.989999999991,119.3489,3.083545
138.989999999991,119.282,3.084612
139.989999999991,119.2541,3.085733
140.989999999991,119.2138,3.086747
141.989999999991,119.1487,3.087761
142.989999999991,119.1245,3.088828
143.989999999991,119.1115,3.089842
144.989999999991,119.0532,3.090857
145.989999999991,119.0172,3.091871
146.989999999991,118.9664,3.092938
147.989999999991,118.9255,3.093899
148.989999999991,118.9056,3.094966
149.989999999991,118.8597,3.09598
150.989999999991,118.8101,3.096994
151.989999999991,118.8027,3.097955
152.989999999991,118.7481,3.098915
153.989999999991,118.7041,3.099876
154.989999999991,118.6607,3.10089
155.989999999991,118.626,3.101797
156.989999999991,118.5944,3.102812
157.989999999991,118.5497,3.103772
158.989999999991,118.5349,3.104733
159.989999999991,118.4772,3.105694
160.989999999991,118.471,3.106601
161.989999999991,118.391,3.107615
162.989999999991,118.3966,3.108522
163.989999999991,118.3358,3.109429
164.989999999991,118.2924,3.11039
165.989999999991,118.2608,3.111297
166.989999999991,118.2478,3.112258
167.989999999991,118.1994,3.113165
168.989999999991,118.1666,3.114073
169.989999999991,118.1263,3.115033
170.989999999991,118.0916,3.115941
171.989999999991,118.0649,3.116795
172.989999999991,118.0122,3.117702
173.989999999991,117.9855,3.118609
174.989999999991,117.9508,3.119463
175.989999999991,117.9328,3.120424
176.989999999991,117.8727,3.121278
177.989999999991,117.8733,3.122185
178.989999999991,117.8113,3.123039
179.989999999991,117.7946,3.123946
180.989999999991,117.7642,3.1248
181.989999999991,117.7177,3.125707
182.989999999991,117.7003,3.126508
183.989999999991,117.6867,3.127362
184.989999999991,117.6408,3.128216
185.989999999991,117.6135,3.129123
186.989999999991,117.5404,3.12987
187.989999999991,117.5323,3.130778
188.989999999991,117.4765,3.131632
189.989999999991,117.4654,3.132432
190.989999999991,117.422,3.133339
191.989999999991,117.4201,3.13414
192.989999999991,117.3953,3.134941
