Cycle,Mean_Retention,CI95_Lower_Retention,CI95_Upper_Retention,Mean_Capacity,CI95_Lower_Capacity,CI95_Upper_Capacity
0,1,1,1,234.472222222204,234.472222222204,234.472222222204
1,0.997343324250682,0.997275204359673,0.998637602179837,233.849305555538,233.833333333316,234.15277777776
2,0.996525885558584,0.99591280653951,0.997275204359673,233.657638888871,233.513888888871,233.833333333316
3,0.995776566757493,0.994550408719347,0.99591280653951,233.481944444427,233.194444444427,233.513888888871
4,0.994891008174388,0.994550408719347,0.99591280653951,233.274305555538,233.194444444427,233.513888888871
5,0.994277929155314,0.993188010899183,0.994550408719347,233.130555555538,232.874999999982,233.194444444427
6,0.993596730245232,0.993188010899183,0.994550408719347,232.970833333316,232.874999999982,233.194444444427
7,0.993051771117167,0.99182561307902,0.993188010899183,232.843055555538,232.555555555538,232.874999999982
8,0.99257493188011,0.99182561307902,0.993188010899183,232.731249999982,232.555555555538,232.874999999982
9,0.992029972752044,0.990463215258856,0.993188010899183,232.603472222205,232.236111111094,232.874999999982
10,0.991621253405995,0.990463215258856,0.993188010899183,232.507638888871,232.236111111094,232.874999999982
11,0.991144414168938,0.989100817438693,0.99182561307902,232.395833333316,231.916666666649,232.555555555538
12,0.990735694822889,0.989100817438693,0.99182561307902,232.299999999982,231.916666666649,232.555555555538
13,0.99032697547684,0.989100817438693,0.99182561307902,232.204166666649,231.916666666649,232.555555555538
14,0.989918256130791,0.98773841961853,0.990463215258856,232.108333333316,231.597222222205,232.236111111094
15,0.989645776566758,0.98773841961853,0.990463215258856,232.044444444427,231.597222222205,232.236111111094
16,0.989373297002726,0.98773841961853,0.990463215258856,231.980555555538,231.597222222205,232.236111111094
17,0.988964577656677,0.98773841961853,0.990463215258856,231.884722222205,231.597222222205,232.236111111094
18,0.98848773841962,0.986376021798366,0.990463215258856,231.772916666649,231.27777777776,232.236111111094
19,0.988283378746595,0.986376021798366,0.989100817438693,231.724999999983,231.27777777776,231.916666666649
20,0.988010899182563,0.986376021798366,0.989100817438693,231.661111111094,231.27777777776,231.916666666649
