N,dOCV,dR0,dQ,dR1,dR2,Final_Capacity,Error
1.5,0.000101625870057374,3.37925741483867,-0.310502955782778,2.26625707777421,2.23950352696298,144.708333333331,0
1.5,9.78554347788782e-05,3.10110762564715,-0.29126078527599,2.27171751085504,1.97574998316944,151.736111111108,0
1.5,0.000100057980443771,3.08236669309218,-0.305582341863283,2.40346406636547,2.20827188232536,146.624999999998,0
1.5,0.000103656592367024,3.31700267670947,-0.317297983511073,2.24736407058843,2.23016712640327,144.069444444442,0
1.5,9.56598861861633e-05,3.49998038395356,-0.310189718004617,2.28057484736381,1.8653685023726,147.583333333331,0
1.5,0.000104640797899302,3.51175798457784,-0.279815187005417,2.27087319939662,2.19583794029195,148.22222222222,0
1.5,0.000103486583816915,2.52194432512447,-0.283889589444397,2.79158076989437,2.23591426911113,149.499999999997,0
1.5,9.97742482827251e-05,3.18513128240839,-0.268795267396644,2.39273515056904,2.0413468507092,152.694444444441,0
1.5,0.000100956055704194,2.89063011044637,-0.329918529742108,2.00717219703694,2.2903327389867,146.944444444442,0
1.5,9.68561852082946e-05,3.04920031234782,-0.299218381542128,1.93216166131891,1.93322115951036,155.56944444444,0
1.5,9.57169339667357e-05,3.75527278029983,-0.280290024118536,1.84473526445168,2.07377616784544,152.055555555552,0
1.5,9.80564363016612e-05,2.95119035723071,-0.320332368489817,2.60481770817455,2.22318628229445,143.430555555554,0
1.5,0.00010514254225132,2.66118482873275,-0.284674975994659,2.01983633355388,2.06687886821756,157.166666666662,0
1.5,9.88013983931356e-05,3.25664867286531,-0.313380138858893,2.41826982645546,2.29279481699615,143.430555555554,0
1.5,9.77418861662188e-05,3.16016718753269,-0.345499038289337,2.31743991335815,2.12018203256483,141.833333333332,0
1.5,9.51036638948517e-05,3.06702244607669,-0.328132688316401,1.86412003440887,2.00769466136943,151.416666666663,0
1.5,9.43327635696116e-05,3.48142664433121,-0.295195119591633,2.64502902071559,2.40495065617909,140.874999999999,0
1.5,0.000100110604463321,3.38116099369248,-0.296584856393089,2.32150510909705,2.33200925346366,145.34722222222,0
1.5,0.000105201197470954,3.32029343732147,-0.358113784963425,2.60043132967791,2.32569935137388,133.847222222222,0
1.5,0.00010615742044117,3.11137477516678,-0.294876035819866,2.27538178700814,2.35072424219971,147.263888888886,0
